data,product_id,nome,preco,n_ofertas,item_id,seller_id,frete_gratis,permalink
2026-07-12,MLB71568830,Livro Seis Anos Depois - Harlan Coben,25.0,1,MLB4789170607,415277746,False,https://www.mercadolivre.com.br/p/MLB71568830
2026-07-12,MLB62785929,Livro Quebra De Confiança- Harlan Coben,51.0,45,MLB4347555401,480263032,False,https://www.mercadolivre.com.br/p/MLB62785929
2026-07-12,MLB72460582,Apenas Um Olhar | Harlan Coben,192.18,1,MLB4743444625,16727661,True,https://www.mercadolivre.com.br/p/MLB72460582
2026-07-12,MLB19243809,Livro Não Há Segunda Chance De Harlan Coben Da Editora Arqueiro,48.94,45,MLB4663582216,739066488,False,https://www.mercadolivre.com.br/p/MLB19243809
2026-07-12,MLB30033114,"Identidades Cruzadas, De Harlan Coben. Editora Arqueiro Em Português",48.19,76,MLB4904549046,480263032,False,https://www.mercadolivre.com.br/p/MLB30033114
2026-07-12,MLB19243672,Livro Fique comigo de Harlan Coben Editora Arqueiro Capa mole em português 2021,45.0,17,MLB4396997093,74079429,False,https://www.mercadolivre.com.br/p/MLB19243672
2026-07-12,MLB19243657,Livro Custe o Que Custar de Harlan Coben Capa Mole em Português 2020 Editora Arqueiro,39.9,2,MLB3881026463,709735763,False,https://www.mercadolivre.com.br/p/MLB19243657
2026-07-12,MLB66105743,"Kit Nunca Minta + A Empregada, De Freida Mcfadden",129.29,2,MLB6661251870,761552384,True,https://www.mercadolivre.com.br/p/MLB66105743
2026-07-12,MLB66070619,"Livro A Intrusa A Inquilina, De Freida Mcfadden, Vol. 2, Capa Mole",132.65,2,MLB4629023345,761552384,True,https://www.mercadolivre.com.br/p/MLB66070619
2026-07-12,MLB43966736,"Livro Nunca Minta de Freida McFadden, 280 Páginas, Português, Editora Record, Capa Blanda",30.06,100,MLB4085363551,698499112,False,https://www.mercadolivre.com.br/p/MLB43966736
2026-07-12,MLB63989000,"Livro Querida Debbie, por Freida McFadden Editora Arqueiro Capa Mole Em Português, 2026",37.17,100,MLB4832470915,698499112,False,https://www.mercadolivre.com.br/p/MLB63989000
2026-07-12,MLB62822775,"Livro Kit O Segredo Da Empregada, De Freida Mcfadden. Editora Arqueiro, Capa Mole",119.8,12,MLB4343918665,718990748,True,https://www.mercadolivre.com.br/p/MLB62822775
2026-07-12,MLB40442415,Box A Empregada Edição 1 Ano 2024 Freida Mcfadden Editora Arqueiro,98.32,96,MLB3857554809,480263032,True,https://www.mercadolivre.com.br/p/MLB40442415
2026-07-12,MLB49824716,Livro A Sete Chaves Edição 1 Ano 2025 Em Português Freida Mcfadden Editora Arqueiro,37.05,100,MLB5420634440,480263032,False,https://www.mercadolivre.com.br/p/MLB49824716
2026-07-12,MLB61516164,Livro A Inquilina de Freida Mcfadden com Capa Mole em Português por Editora Record,34.4,100,MLB4427009665,698499112,False,https://www.mercadolivre.com.br/p/MLB61516164
2026-07-12,MLB61213087,"Livro Coleção Dan Brown 6 Volumes, De Dan Brown. Editora Diversas, Capa Mole",479.4,13,MLB4274602039,718990748,True,https://www.mercadolivre.com.br/p/MLB61213087
2026-07-12,MLB68160517,Livro Fortaleza Digital Dan Brown Aventura Ficção,65.0,1,MLB4832112787,67534904,False,https://www.mercadolivre.com.br/p/MLB68160517
2026-07-12,MLB21587911,Livro O Símbolo Perdido - Dan Brown - Edição Econômica *,25.0,1,MLB5312649252,168961967,False,https://www.mercadolivre.com.br/p/MLB21587911
2026-07-12,MLB23085580,"Kit 2 Livros Dan Brown Ponto De Impacto + Origem, De Dan Brown. Editora Arqueiro Em Português",90.0,1,MLB7143075990,382480267,True,https://www.mercadolivre.com.br/p/MLB23085580
2026-07-12,MLB21576134,Livro O Código Da Vinci de Dan Brown Editorial Arqueiro,19.0,4,MLB4260534915,51444904,False,https://www.mercadolivre.com.br/p/MLB21576134
